year,region_name,local_authority_id,local_authority_name,local_authority_code,road_name,road_category,road_type,link_length_km,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,LGVs,HGVs_2_rigid_axle,HGVs_3_rigid_axle,HGVs_4_or_more_rigid_axle,HGVs_3_or_4_articulated_axle,HGVs_5_articulated_axle,HGVs_6_articulated_axle,all_HGVs,all_motor_vehicles
2020,London,121,Enfield,E09000010,A105,PA,Major,0.6,399,251,8519,429,1548,124,35,18,3,12,9,200,10947
2021,London,121,Enfield,E09000010,A105,PA,Major,0.6,357,287,9191,432,1650,131,37,20,4,12,9,213,11773
2022,London,121,Enfield,E09000010,A105,PA,Major,0.6,365,330,9440,438,1791,139,39,20,4,13,9,225,12225
2023,London,121,Enfield,E09000010,A105,PA,Major,0.6,375,335,9420,441,1823,139,38,20,4,13,9,222,12242
2016,London,125,Waltham Forest,E09000031,A112,PA,Major,1.9,184,166,13437,764,1924,93,20,10,3,8,2,136,16427
2017,London,125,Waltham Forest,E09000031,A112,PA,Major,1.9,179,172,13433,733,1908,91,21,9,3,8,2,133,16380
2018,London,125,Waltham Forest,E09000031,A112,PA,Major,2,177,174,13421,706,1947,91,21,7,3,7,2,132,16379
2019,London,125,Waltham Forest,E09000031,A112,PA,Major,2,166,183,13456,701,1946,90,21,7,3,7,2,131,16417
2020,London,125,Waltham Forest,E09000031,A112,PA,Major,2,205,140,10200,585,1696,80,17,6,2,7,2,114,12735
2021,London,125,Waltham Forest,E09000031,A112,PA,Major,2,183,159,11005,590,1809,84,19,7,3,7,2,121,13683
2022,London,125,Waltham Forest,E09000031,A112,PA,Major,2,188,184,11303,597,1963,90,20,7,3,7,2,128,14175
2023,London,125,Waltham Forest,E09000031,A112,PA,Major,2,193,186,11280,602,1998,89,19,7,3,7,2,126,14193
2016,London,121,Enfield,E09000010,A110,PA,Major,1.6,169,158,16169,1329,1847,390,39,32,38,7,9,515,20017
2017,London,121,Enfield,E09000010,A110,PA,Major,1.6,165,163,16164,1276,1832,383,41,28,34,7,9,502,19937
2018,London,121,Enfield,E09000010,A110,PA,Major,1.6,128,243,14123,1177,1611,200,36,32,31,20,12,332,17487
2019,London,121,Enfield,E09000010,A110,PA,Major,1.6,120,257,14160,1170,1611,197,37,34,31,20,12,331,17528
2020,London,121,Enfield,E09000010,A110,PA,Major,1.6,149,196,10734,975,1404,174,30,28,26,18,10,287,13596
2021,London,121,Enfield,E09000010,A110,PA,Major,1.6,133,223,11580,984,1497,184,33,31,28,19,11,305,14589
2022,London,121,Enfield,E09000010,A110,PA,Major,1.6,136,257,11895,996,1625,196,35,31,30,20,11,323,15096
2023,London,121,Enfield,E09000010,A110,PA,Major,1.6,140,261,11870,1004,1654,195,34,31,29,20,10,318,15106
2016,London,124,Redbridge,E09000026,A118,PA,Major,3.8,135,156,15048,372,1733,280,24,11,2,4,13,333,17642
2017,London,124,Redbridge,E09000026,A118,PA,Major,3.7,321,155,15823,379,1881,110,29,9,9,13,11,180,18419
2018,London,124,Redbridge,E09000026,A118,PA,Major,3.7,317,156,15809,365,1919,111,29,7,9,12,10,178,18428
2019,London,124,Redbridge,E09000026,A118,PA,Major,3.7,297,165,15851,363,1919,109,29,7,9,12,10,177,18473
2020,London,124,Redbridge,E09000026,A118,PA,Major,3.7,368,125,12015,303,1672,96,24,6,7,11,9,154,14270
2021,London,124,Redbridge,E09000026,A118,PA,Major,3.7,329,143,12963,305,1783,101,26,7,8,12,10,163,15357
2022,London,124,Redbridge,E09000026,A118,PA,Major,3.7,336,165,13315,309,1936,108,27,7,9,12,9,173,15897
2023,London,124,Redbridge,E09000026,A118,PA,Major,3.7,345,167,13287,311,1970,108,27,7,8,12,9,170,15905
2016,London,175,Richmond upon Thames,E09000027,A306,PA,Major,1.3,501,547,13355,272,2600,260,14,55,0,0,0,329,17103
2017,London,175,Richmond upon Thames,E09000027,A306,PA,Major,1.3,503,532,13339,265,2752,268,14,57,0,0,0,339,17227
2018,London,175,Richmond upon Thames,E09000027,A306,PA,Major,1.3,492,520,13275,251,2882,272,15,60,0,0,0,347,17275
2019,London,175,Richmond upon Thames,E09000027,A306,PA,Major,1.3,595,559,13304,248,2872,270,15,62,0,0,0,347,17330
2020,London,175,Richmond upon Thames,E09000027,A306,PA,Major,1.3,761,416,9716,159,2458,242,13,55,0,0,0,310,13059
2021,London,175,Richmond upon Thames,E09000027,A306,PA,Major,1.3,780,143,5029,478,788,129,18,7,2,1,8,166,6605
2022,London,175,Richmond upon Thames,E09000027,A306,PA,Major,1.3,763,159,5398,511,878,133,19,8,2,1,8,171,7117
2023,London,175,Richmond upon Thames,E09000027,A306,PA,Major,1.3,723,148,5531,506,896,133,18,7,2,1,8,169,7250
2016,London,201,Havering,E09000016,A118,PA,Major,2.5,163,164,16145,338,1648,357,70,13,0,33,44,517,18812
2017,London,201,Havering,E09000016,A118,PA,Major,2.5,152,168,16591,480,2722,186,31,26,14,29,21,307,20269
2018,London,201,Havering,E09000016,A118,PA,Major,2.5,150,170,16576,462,2778,187,30,21,14,28,20,300,20286
2019,London,201,Havering,E09000016,A118,PA,Major,2.5,141,179,16620,459,2777,184,31,22,14,28,20,299,20333
2020,London,201,Havering,E09000016,A118,PA,Major,2.5,174,136,12598,383,2421,163,26,18,12,25,17,261,15799
2021,London,201,Havering,E09000016,A118,PA,Major,2.5,156,156,13592,386,2581,171,28,20,13,26,19,277,16991
2022,London,201,Havering,E09000016,A118,PA,Major,2.5,148,226,13926,424,2196,252,21,74,18,12,37,415,17188
2023,London,201,Havering,E09000016,A118,PA,Major,2.5,151,230,13897,428,2235,251,20,73,17,12,35,409,17198
2016,London,111,Hounslow,E09000018,A312,PA,Major,0.6,184,551,33347,272,6779,1146,121,196,91,491,333,2377,43325
2017,London,111,Hounslow,E09000018,A312,PA,Major,0.6,188,380,29843,204,6627,1070,166,136,106,468,179,2125,39179
2018,London,111,Hounslow,E09000018,A312,PA,Major,0.7,185,383,29817,196,6763,1075,164,110,106,454,172,2080,39239
2019,London,111,Hounslow,E09000018,A312,PA,Major,0.7,174,404,29895,195,6760,1057,165,115,106,455,171,2069,39323
2020,London,111,Hounslow,E09000018,A312,PA,Major,0.7,13,323,20038,96,5620,1318,144,200,51,254,488,2454,28531
2021,London,111,Hounslow,E09000018,A312,PA,Major,0.7,11,369,21618,97,5992,1389,155,221,54,269,524,2611,30686
2022,London,111,Hounslow,E09000018,A312,PA,Major,0.7,9,583,29023,105,5773,1657,192,179,95,261,524,2908,38392
2023,London,111,Hounslow,E09000018,A312,PA,Major,0.7,9,592,28962,106,5875,1647,186,175,91,255,495,2849,38384
2016,London,175,Richmond upon Thames,E09000027,A305,PA,Major,0.2,3106,766,22368,1591,3598,275,52,66,8,4,7,412,28734
2017,London,175,Richmond upon Thames,E09000027,A305,PA,Major,0.2,3034,794,22361,1528,3568,270,55,56,7,4,7,400,28650
2018,London,175,Richmond upon Thames,E09000027,A305,PA,Major,0.2,1720,956,24156,1628,3757,212,60,36,16,16,9,348,30846
2019,London,175,Richmond upon Thames,E09000027,A305,PA,Major,0.2,1612,1008,24219,1619,3756,209,60,38,16,16,9,347,30949
2020,London,175,Richmond upon Thames,E09000027,A305,PA,Major,0.2,1994,768,18359,1349,3274,185,50,31,13,14,8,301,24052
2021,London,175,Richmond upon Thames,E09000027,A305,PA,Major,0.2,1781,877,19807,1360,3491,195,54,35,14,15,8,320,25855
2022,London,175,Richmond upon Thames,E09000027,A305,PA,Major,0.2,1824,1011,20345,1377,3789,208,57,35,15,15,8,339,26861
2023,London,175,Richmond upon Thames,E09000027,A305,PA,Major,0.2,1870,1026,20302,1389,3856,206,55,35,15,15,8,333,26906
2016,London,175,Richmond upon Thames,E09000027,A316,PA,Major,1.7,456,945,25445,973,4891,694,145,471,15,23,145,1492,33746
2017,London,175,Richmond upon Thames,E09000027,A316,PA,Major,1.7,446,979,25437,934,4850,682,154,404,13,23,142,1417,33618
2018,London,175,Richmond upon Thames,E09000027,A316,PA,Major,1.7,366,1156,28567,1586,5280,230,64,38,16,36,22,405,36994
2019,London,175,Richmond upon Thames,E09000027,A316,PA,Major,1.7,343,1220,28642,1576,5278,226,64,40,16,36,22,404,37119
2020,London,175,Richmond upon Thames,E09000027,A316,PA,Major,1.7,424,929,21712,1314,4601,200,53,33,14,32,19,351,28906
2021,London,175,Richmond upon Thames,E09000027,A316,PA,Major,1.7,379,1060,23424,1325,4905,211,57,36,14,34,20,373,31087
2022,London,175,Richmond upon Thames,E09000027,A316,PA,Major,1.7,708,1741,25952,1323,5360,688,47,32,24,13,28,831,35207
2023,London,175,Richmond upon Thames,E09000027,A316,PA,Major,1.7,726,1766,25898,1334,5454,684,46,32,22,13,26,822,35275
2016,London,175,Richmond upon Thames,E09000027,A305,PA,Major,0.2,53,110,4023,21,428,87,15,6,1,0,0,108,4690
2017,London,175,Richmond upon Thames,E09000027,A305,PA,Major,0.2,52,114,4022,20,424,86,16,5,1,0,0,107,4687
2018,London,175,Richmond upon Thames,E09000027,A305,PA,Major,0.2,365,293,4077,35,701,46,11,1,3,0,0,61,5168
2019,London,175,Richmond upon Thames,E09000027,A305,PA,Major,0.2,342,310,4088,35,701,45,11,1,3,0,0,60,5194
2020,London,175,Richmond upon Thames,E09000027,A305,PA,Major,0.2,423,236,3099,29,611,40,9,1,3,0,0,53,4028
2021,London,175,Richmond upon Thames,E09000027,A305,PA,Major,0.2,378,269,3343,30,652,42,10,1,3,0,0,56,4349
2022,London,175,Richmond upon Thames,E09000027,A305,PA,Major,0.2,387,310,3434,30,707,45,10,1,3,0,0,59,4541
2023,London,175,Richmond upon Thames,E09000027,A305,PA,Major,0.2,397,315,3427,30,720,45,10,1,3,0,0,59,4550
2016,London,111,Hounslow,E09000018,A315,PA,Major,1.4,586,571,9909,633,1651,342,52,43,1,5,14,457,13222
2017,London,111,Hounslow,E09000018,A315,PA,Major,1.4,572,592,9906,608,1637,336,56,37,1,5,14,448,13191
2018,London,111,Hounslow,E09000018,A315,PA,Major,1.4,565,596,9898,585,1671,338,55,30,1,5,13,441,13191
2019,London,111,Hounslow,E09000018,A315,PA,Major,1.4,1175,688,12122,791,2081,239,37,16,5,12,5,313,15996
2020,London,111,Hounslow,E09000018,A315,PA,Major,1.4,1454,524,9189,659,1814,211,30,14,4,11,4,274,12461
2021,London,111,Hounslow,E09000018,A315,PA,Major,1.4,1299,598,9914,665,1934,223,33,15,4,12,4,290,13401
2022,London,111,Hounslow,E09000018,A315,PA,Major,1.4,1330,690,10183,673,2100,237,35,15,4,12,4,308,13954
2023,London,111,Hounslow,E09000018,A315,PA,Major,1.4,1363,700,10162,678,2137,236,34,15,4,12,4,305,13982
2016,London,175,Richmond upon Thames,E09000027,A312,PA,Major,1.2,45,178,12246,205,1826,171,22,35,10,7,29,275,14730
2017,London,175,Richmond upon Thames,E09000027,A312,PA,Major,1.2,44,185,12242,197,1811,168,23,30,9,7,29,267,14701
2018,London,175,Richmond upon Thames,E09000027,A312,PA,Major,1.2,43,186,12232,189,1848,169,23,25,9,7,27,260,14715
2019,London,175,Richmond upon Thames,E09000027,A312,PA,Major,1.2,41,196,12264,188,1847,166,23,26,9,7,27,258,14753
2020,London,175,Richmond upon Thames,E09000027,A312,PA,Major,1.2,319,181,9698,202,1855,252,45,13,3,1,4,318,12254
2021,London,175,Richmond upon Thames,E09000027,A312,PA,Major,1.2,285,206,10462,204,1977,266,48,14,4,1,5,337,13187
2022,London,175,Richmond upon Thames,E09000027,A312,PA,Major,1.2,292,238,10746,207,2147,283,51,14,4,1,5,358,13696
2023,London,175,Richmond upon Thames,E09000027,A312,PA,Major,1.2,300,241,10724,208,2185,282,49,14,4,1,4,354,13713
2016,London,175,Richmond upon Thames,E09000027,A316,PA,Major,3.1,357,1118,39815,298,7816,565,118,144,29,69,95,1019,50067
2017,London,175,Richmond upon Thames,E09000027,A316,PA,Major,3.1,356,934,35560,271,6827,532,112,155,40,124,111,1073,44664
2018,London,175,Richmond upon Thames,E09000027,A316,PA,Major,3.1,351,941,35528,261,6967,534,110,125,40,121,106,1036,44733
2019,London,175,Richmond upon Thames,E09000027,A316,PA,Major,3.1,335,990,36708,278,7036,557,90,113,44,78,52,934,45947
2020,London,175,Richmond upon Thames,E09000027,A316,PA,Major,3.1,414,755,27826,232,6134,493,75,93,37,69,45,813,35759
2021,London,175,Richmond upon Thames,E09000027,A316,PA,Major,3.1,572,957,36408,207,6954,789,142,117,62,52,76,1238,45764
2022,London,175,Richmond upon Thames,E09000027,A316,PA,Major,3.1,586,1104,37396,210,7549,841,150,120,67,55,75,1308,47567
2023,London,175,Richmond upon Thames,E09000027,A316,PA,Major,3.1,448,1066,36774,238,6679,793,113,112,20,34,91,1164,45921
2016,London,107,Lambeth,E09000022,A203,PA,Major,1.3,1931,1599,9846,842,3290,396,54,41,3,2,20,516,16093
2017,London,107,Lambeth,E09000022,A203,PA,Major,1.3,2234,1945,11552,947,3824,455,68,41,3,2,23,593,18861
2018,London,107,Lambeth,E09000022,A203,PA,Major,1.3,2234,1982,11670,920,3945,462,68,34,3,2,23,592,19109
2019,London,107,Lambeth,E09000022,A203,PA,Major,1.3,1992,1985,11106,868,3742,431,65,34,3,2,22,556,18257
2020,London,107,Lambeth,E09000022,A203,PA,Major,1.3,2465,1708,9510,818,3686,431,61,31,3,2,21,550,16271
2021,London,107,Lambeth,E09000022,A203,PA,Major,1.3,2202,2183,11496,925,4406,510,73,39,3,3,25,654,19664
2022,London,107,Lambeth,E09000022,A203,PA,Major,1.3,2254,2401,11262,895,4566,521,74,37,3,3,24,662,19786
2023,London,107,Lambeth,E09000022,A203,PA,Major,1.3,2312,2432,11223,901,4640,517,72,36,3,3,22,653,19849
2016,London,66,Hillingdon,E09000017,A408,PA,Major,7.6,50,165,11317,427,2289,268,101,63,5,3,1,441,14639
2017,London,66,Hillingdon,E09000017,A408,PA,Major,7.6,49,171,11313,410,2270,264,107,54,4,3,1,434,14598
2018,London,66,Hillingdon,E09000017,A408,PA,Major,7.8,100,94,15371,189,2207,200,38,33,16,32,15,334,18195
2019,London,66,Hillingdon,E09000017,A408,PA,Major,7.8,93,99,15412,188,2206,197,38,35,16,32,15,333,18237
2020,London,66,Hillingdon,E09000017,A408,PA,Major,7.8,115,75,11683,157,1923,174,32,29,14,28,13,289,14127
2021,London,66,Hillingdon,E09000017,A408,PA,Major,7.8,103,86,12604,158,2050,184,34,32,14,30,14,308,15206
2022,London,66,Hillingdon,E09000017,A408,PA,Major,7.8,106,99,12946,160,2225,196,36,32,16,31,14,325,15756
2023,London,66,Hillingdon,E09000017,A408,PA,Major,7.8,108,101,12919,161,2265,195,35,32,15,31,13,320,15766
2016,London,145,Camden,E09000007,A400,PA,Major,0.3,946,860,8597,978,2471,345,65,66,13,4,7,500,13406
2017,London,145,Camden,E09000007,A400,PA,Major,0.3,924,891,8595,939,2450,340,69,56,12,4,7,487,13362
2018,London,145,Camden,E09000007,A400,PA,Major,0.3,695,639,7427,880,2241,159,66,69,6,7,4,312,11499
2019,London,145,Camden,E09000007,A400,PA,Major,0.3,651,674,7447,874,2240,157,67,73,6,7,4,313,11549
2020,London,145,Camden,E09000007,A400,PA,Major,0.3,806,514,5645,729,1953,139,55,60,5,6,3,269,9109
2021,London,145,Camden,E09000007,A400,PA,Major,0.3,720,586,6090,735,2082,146,60,66,6,7,3,288,9781
2022,London,145,Camden,E09000007,A400,PA,Major,0.3,737,676,6255,744,2260,156,63,68,6,7,3,303,10239
2023,London,145,Camden,E09000007,A400,PA,Major,0.3,756,686,6242,750,2300,155,61,66,6,7,3,298,10277
2016,London,118,Brent,E09000005,A404,PA,Major,0.7,147,201,11079,379,1642,194,40,23,13,0,14,284,13585
2017,London,118,Brent,E09000005,A404,PA,Major,0.7,143,209,11075,364,1628,191,43,20,12,0,13,279,13555
2018,London,118,Brent,E09000005,A404,PA,Major,0.7,142,210,11065,350,1662,192,42,16,12,0,13,275,13562
2019,London,118,Brent,E09000005,A404,PA,Major,0.7,133,222,11094,348,1661,189,43,17,12,0,13,273,13598
2020,London,118,Brent,E09000005,A404,PA,Major,0.7,164,169,8410,290,1448,167,36,14,10,0,11,237,10554
2021,London,118,Brent,E09000005,A404,PA,Major,0.7,133,488,12577,564,2059,365,44,26,20,8,13,475,16163
2022,London,118,Brent,E09000005,A404,PA,Major,0.7,136,562,12918,570,2235,389,46,27,21,8,13,505,16791
2023,London,118,Brent,E09000005,A404,PA,Major,0.7,140,571,12891,575,2275,387,45,26,20,8,12,498,16810
2016,London,176,Bromley,E09000006,A222,PA,Major,0.3,136,524,27714,471,7900,209,63,56,32,4,6,370,36980
2017,London,176,Bromley,E09000006,A222,PA,Major,0.3,133,544,27706,452,7834,206,67,48,29,4,6,360,36895
2018,London,176,Bromley,E09000006,A222,PA,Major,0.3,335,438,25022,413,4724,302,39,69,8,25,16,457,31054
2019,London,176,Bromley,E09000006,A222,PA,Major,0.3,313,462,25088,410,4722,297,40,72,8,25,16,456,31138
2020,London,176,Bromley,E09000006,A222,PA,Major,0.3,388,352,19018,342,4116,262,33,59,7,22,14,397,24225
2021,London,176,Bromley,E09000006,A222,PA,Major,0.3,346,402,20517,345,4388,277,35,65,7,23,15,422,26074
2022,London,176,Bromley,E09000006,A222,PA,Major,0.3,355,463,21074,349,4764,295,37,67,8,24,14,446,27096
2023,London,176,Bromley,E09000006,A222,PA,Major,0.3,364,470,21030,352,4848,293,36,66,7,24,14,440,27140
2016,London,57,Barnet,E09000003,A406,PA,Major,1,0,1074,58301,459,13869,2699,223,499,215,631,662,4929,78632
2017,London,57,Barnet,E09000003,A406,PA,Major,1,1,1396,55667,309,13217,2202,263,447,188,177,887,4164,74753
2018,London,57,Barnet,E09000003,A406,PA,Major,1,1,1406,55618,297,13487,2211,260,361,187,172,854,4044,74854
2019,London,57,Barnet,E09000003,A406,PA,Major,1,0,1209,54952,392,14414,2385,270,386,158,142,915,4255,75222
2020,London,57,Barnet,E09000003,A406,PA,Major,1,0,921,41656,326,12566,2111,224,319,134,125,798,3710,59180
2021,London,57,Barnet,E09000003,A406,PA,Major,1,1,1108,52436,554,14474,2288,257,408,126,218,658,3955,72527
2022,London,57,Barnet,E09000003,A406,PA,Major,1,2,1349,52426,600,12689,2137,275,351,104,173,608,3648,70713
2023,London,57,Barnet,E09000003,A406,PA,Major,1,0,1376,51005,578,14586,1135,280,342,67,120,627,2570,70115
2016,London,106,Bexley,E09000004,A206,PA,Major,2.1,56,294,23737,422,4787,952,158,572,159,647,762,3250,32491
2017,London,106,Bexley,E09000004,A206,PA,Major,2.1,63,352,27428,468,5488,1081,194,566,165,747,859,3612,37348
2018,London,106,Bexley,E09000004,A206,PA,Major,2.2,92,330,23163,307,5713,903,236,464,203,1176,963,3945,33457
2019,London,106,Bexley,E09000004,A206,PA,Major,2.2,86,348,23223,305,5710,889,238,486,204,1177,958,3952,33538
2020,London,106,Bexley,E09000004,A206,PA,Major,2.2,107,265,17604,254,4978,786,197,402,173,1041,835,3435,26537
2021,London,106,Bexley,E09000004,A206,PA,Major,2.2,96,302,18992,256,5307,829,213,443,185,1102,896,3668,28526
2022,London,106,Bexley,E09000004,A206,PA,Major,2.2,171,435,23227,252,5402,1446,268,478,53,255,1706,4205,33522
2023,London,106,Bexley,E09000004,A206,PA,Major,2.2,175,477,25031,275,5936,1551,281,506,54,269,1741,4403,36121
2016,London,146,Hammersmith and Fulham,E09000013,A219,PA,Major,1.5,1062,1106,12587,1365,3042,480,57,67,11,26,33,674,18774
2017,London,146,Hammersmith and Fulham,E09000013,A219,PA,Major,1.5,1037,1146,12583,1310,3017,472,60,58,10,26,32,658,18714
2018,London,146,Hammersmith and Fulham,E09000013,A219,PA,Major,1.5,1024,1155,12572,1260,3079,474,60,47,10,25,31,646,18712
2019,London,146,Hammersmith and Fulham,E09000013,A219,PA,Major,1.5,960,1219,12605,1253,3077,466,60,49,10,25,31,641,18794
2020,London,146,Hammersmith and Fulham,E09000013,A219,PA,Major,1.5,1188,928,9555,1044,2683,413,50,40,8,22,27,560,14770
2021,London,146,Hammersmith and Fulham,E09000013,A219,PA,Major,1.5,1090,1217,12607,1113,2728,458,38,77,10,8,19,610,18275
2022,London,146,Hammersmith and Fulham,E09000013,A219,PA,Major,1.5,1116,1404,12949,1127,2962,488,40,79,11,8,19,645,19086
2023,London,146,Hammersmith and Fulham,E09000013,A219,PA,Major,1.5,1145,1424,12922,1136,3014,485,39,77,10,8,18,638,19134
2016,London,105,Greenwich,E09000011,A210,PA,Major,2,80,173,11465,158,1459,155,20,41,0,8,15,239,13494
2017,London,105,Greenwich,E09000011,A210,PA,Major,2,78,179,11461,151,1447,153,21,35,0,8,15,232,13470
2018,London,105,Greenwich,E09000011,A210,PA,Major,2,77,181,11451,146,1476,153,21,28,0,8,14,224,13478
2019,London,105,Greenwich,E09000011,A210,PA,Major,2,72,191,11481,145,1476,151,21,30,0,8,14,223,13516
2020,London,105,Greenwich,E09000011,A210,PA,Major,2,247,166,8654,208,1536,133,3,5,2,0,2,146,10710
2021,London,105,Greenwich,E09000011,A210,PA,Major,2,220,190,9336,210,1638,140,3,6,2,0,2,154,11527
2022,London,105,Greenwich,E09000011,A210,PA,Major,2,226,219,9590,212,1778,150,3,6,3,0,2,164,11962
2023,London,105,Greenwich,E09000011,A210,PA,Major,2,231,222,9570,214,1809,149,3,6,2,0,2,162,11977
2016,London,103,Southwark,E09000028,A215,PA,Major,2.1,2642,936,8457,2429,2145,160,37,30,17,22,1,267,14234
2017,London,103,Southwark,E09000028,A215,PA,Major,2.1,2580,970,8455,2331,2127,158,39,26,15,22,1,261,14144
2018,London,103,Southwark,E09000028,A215,PA,Major,2.1,2549,978,8447,2243,2170,158,39,21,15,21,1,255,14093
2019,London,103,Southwark,E09000028,A215,PA,Major,2.1,2388,1031,8469,2230,2169,156,39,22,15,21,1,254,14154
2020,London,103,Southwark,E09000028,A215,PA,Major,2.1,2955,786,6420,1859,1891,138,32,18,13,18,1,221,11176
2021,London,103,Southwark,E09000028,A215,PA,Major,2.1,2639,897,6926,1874,2016,145,35,20,14,20,1,235,11948
2022,London,103,Southwark,E09000028,A215,PA,Major,2.1,2703,1034,7115,1897,2189,155,37,20,15,21,1,249,12483
2023,London,103,Southwark,E09000028,A215,PA,Major,2.1,2771,1049,7100,1913,2227,154,36,20,14,20,1,245,12534
2016,London,96,Islington,E09000019,A501,PA,Major,0.3,219,1006,8387,23,2717,430,29,115,24,18,26,642,12776
2017,London,96,Islington,E09000019,A501,PA,Major,0.3,214,1043,8385,23,2694,423,31,99,22,18,25,618,12762
2018,London,96,Islington,E09000019,A501,PA,Major,0.3,212,1051,8377,22,2749,424,30,80,22,18,24,598,12797
2019,London,96,Islington,E09000019,A201,PA,Major,0.3,198,1109,8399,22,2748,417,31,84,22,18,24,595,12873
2020,London,96,Islington,E09000019,A201,PA,Major,0.3,245,845,6367,18,2395,369,25,69,19,16,21,519,10144
2021,London,96,Islington,E09000019,A201,PA,Major,0.3,219,964,6869,18,2554,389,27,76,20,17,23,552,10957
2022,London,96,Islington,E09000019,A201,PA,Major,0.3,187,921,8012,9,2280,555,35,97,10,6,34,736,11959
2023,London,96,Islington,E09000019,A201,PA,Major,0.3,192,935,7995,9,2321,551,34,95,9,6,32,727,11987
2016,London,204,Merton,E09000024,A217,PA,Major,1.1,110,315,10868,429,1850,301,51,48,9,10,58,477,13939
2017,London,204,Merton,E09000024,A217,PA,Major,1.1,108,327,10865,412,1835,296,54,41,8,10,56,466,13904
2018,London,204,Merton,E09000024,A217,PA,Major,1.1,240,425,12434,520,2439,198,41,62,20,13,35,368,16186
2019,London,204,Merton,E09000024,A217,PA,Major,1.1,225,448,12466,517,2438,194,41,65,20,13,34,369,16238
2020,London,204,Merton,E09000024,A217,PA,Major,1.1,278,341,9450,431,2125,172,34,54,17,12,30,319,12666
2021,London,204,Merton,E09000024,A217,PA,Major,1.1,248,389,10195,434,2266,181,37,59,18,13,32,340,13625
2022,London,204,Merton,E09000024,A217,PA,Major,1.1,254,449,10472,440,2460,193,39,60,20,13,32,357,14178
2023,London,204,Merton,E09000024,A217,PA,Major,1.1,261,455,10450,443,2503,192,38,59,19,13,30,351,14203
2016,London,106,Bexley,E09000004,A207,PA,Major,1.2,241,174,13448,737,1539,93,9,1,5,1,5,114,16012
2017,London,106,Bexley,E09000004,A207,PA,Major,1.2,235,180,13444,707,1527,91,10,1,5,1,5,113,15970
2018,London,106,Bexley,E09000004,A207,PA,Major,1.2,233,181,13432,680,1558,92,10,1,5,1,5,112,15964
2019,London,106,Bexley,E09000004,A207,PA,Major,1.2,218,191,13467,676,1557,90,10,1,5,1,5,111,16003
2020,London,106,Bexley,E09000004,A207,PA,Major,1.2,270,146,10209,564,1357,80,8,1,4,1,4,97,12373
2021,London,106,Bexley,E09000004,A207,PA,Major,1.2,184,290,12897,798,1797,207,19,6,3,1,16,253,16035
2022,London,106,Bexley,E09000004,A207,PA,Major,1.2,188,334,13247,808,1951,221,20,6,4,1,15,268,16608
2023,London,106,Bexley,E09000004,A207,PA,Major,1.2,193,339,13220,815,1985,220,20,6,3,1,15,265,16623
2016,London,176,Bromley,E09000006,A214,PA,Major,1.9,217,532,12934,665,3029,159,28,18,13,6,4,228,17388
2017,London,176,Bromley,E09000006,A214,PA,Major,1.9,212,551,12930,638,3004,157,30,15,12,6,3,223,17347
2018,London,176,Bromley,E09000006,A214,PA,Major,1.9,209,556,12919,614,3065,157,29,12,12,6,3,220,17374
2019,London,176,Bromley,E09000006,A214,PA,Major,1.9,196,586,12952,610,3064,155,30,13,12,6,3,219,17432
2020,London,176,Bromley,E09000006,A214,PA,Major,1.9,242,447,9819,509,2671,137,25,11,10,5,3,191,13636
2021,London,176,Bromley,E09000006,A214,PA,Major,1.9,217,510,10593,513,2848,144,27,12,11,5,3,202,14665
2022,London,176,Bromley,E09000006,A214,PA,Major,1.9,222,588,10880,519,3092,154,28,12,12,6,3,215,15293
2023,London,176,Bromley,E09000006,A214,PA,Major,1.9,227,596,10858,524,3146,153,27,12,11,6,3,212,15335
2016,London,204,Merton,E09000024,A217,PA,Major,0.5,289,660,22276,562,4074,581,142,254,100,94,90,1261,28833
2017,London,204,Merton,E09000024,A217,PA,Major,0.5,283,684,22269,539,4040,571,151,218,91,94,88,1212,28744
2018,London,204,Merton,E09000024,A217,PA,Major,0.5,279,689,22250,519,4123,574,149,176,90,91,84,1164,28744
2019,London,204,Merton,E09000024,A217,PA,Major,0.5,262,727,22308,516,4121,564,151,185,90,91,84,1164,28836
2020,London,204,Merton,E09000024,A217,PA,Major,0.5,324,554,16910,430,3592,499,125,153,76,81,73,1007,22493
2021,London,204,Merton,E09000024,A217,PA,Major,0.5,399,606,17761,515,4158,510,57,131,28,23,103,852,23892
2022,London,204,Merton,E09000024,A217,PA,Major,0.5,408,699,18243,521,4514,544,60,134,30,25,101,894,24871
2023,London,204,Merton,E09000024,A217,PA,Major,0.5,419,709,18205,525,4594,541,58,131,29,24,95,878,24912
2016,London,134,Croydon,E09000008,A213,PA,Major,0.4,48,95,8085,0,1089,185,112,39,0,1,3,340,9609
2017,London,134,Croydon,E09000008,A213,PA,Major,0.4,47,98,8082,0,1080,182,119,33,0,1,3,338,9599
2018,London,134,Croydon,E09000008,A213,PA,Major,0.4,46,99,8075,0,1102,183,118,27,0,1,3,331,9608
2019,London,134,Croydon,E09000008,A213,PA,Major,0.4,162,246,8311,40,1700,162,58,42,3,2,8,275,10572
2020,London,134,Croydon,E09000008,A213,PA,Major,0.4,200,187,6300,34,1482,143,48,35,3,2,7,238,8240
2021,London,134,Croydon,E09000008,A213,PA,Major,0.4,179,214,6797,34,1580,151,52,39,3,2,7,253,8878
